,Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered
13938,4/3/2020,Cote d'Ivoire,218,1,19,198,24,0,4
13939,4/3/2020,Croatia,1079,8,92,979,68,1,4
13940,4/3/2020,Cuba,269,6,15,248,36,0,2
13941,4/3/2020,Cyprus,396,11,28,357,40,1,0
13942,4/3/2020,Czechia,4091,53,72,3966,233,9,5
13943,4/3/2020,Denmark,3946,139,1287,2520,373,16,115
13944,4/3/2020,Djibouti,49,0,8,41,9,0,8
13945,4/3/2020,Dominica,12,0,0,12,0,0,0
13946,4/3/2020,Dominican Republic,1488,68,16,1404,108,8,0
13947,4/3/2020,Ecuador,3368,145,65,3158,205,25,0
13948,4/3/2020,Egypt,985,66,216,703,120,8,15
13949,4/3/2020,El Salvador,46,2,0,44,5,0,0
13950,4/3/2020,Equatorial Guinea,16,0,1,15,1,0,0
13951,4/3/2020,Eritrea,22,0,0,22,0,0,0
13952,4/3/2020,Estonia,961,12,48,901,103,1,3
13953,4/3/2020,Eswatini,9,0,0,9,0,0,0
13954,4/3/2020,Ethiopia,35,0,3,32,6,0,0
13955,4/3/2020,Fiji,7,0,0,7,0,0,0
13956,4/3/2020,Finland,1615,20,300,1295,97,1,0
13957,4/3/2020,France,64452,6509,14135,43808,5224,1122,1587
13958,4/3/2020,Gabon,21,1,1,19,0,0,1
13959,4/3/2020,Gambia,4,1,2,1,0,0,0
